cluster_id,headline,published_at,urls,sources,tickers,topics
04605c2bb89173a1f9325e45419eeb74,Termo prevê que Parque da Maternidade seja gerido pela prefeitura da capital; entenda,2025-09-25T00:32:14+00:00,https://g1.globo.com/ac/acre/noticia/2025/09/24/termo-preve-que-parque-da-maternidade-seja-gerido-pela-prefeitura-da-capital-entenda.ghtml,g1.globo.com,,
3a9d089a0053a76de8beb0ff77d96b3c,+Milionária hoje: resultado do concurso 288 e números sorteados,2025-09-25T00:30:22+00:00,https://g1.globo.com/loterias/milionaria/noticia/2025/09/24/milionaria-hoje-resultado-do-concurso-288-e-numeros-sorteados.ghtml,g1.globo.com,,resultado
5c38d3587cf2c9346adcd82073d2cc98,Super Sete hoje: resultado do concurso 750 e números sorteados,2025-09-25T00:30:17+00:00,https://g1.globo.com/loterias/super-sete/noticia/2025/09/24/super-sete-hoje-resultado-do-concurso-750-e-numeros-sorteados.ghtml,g1.globo.com,,resultado
16509185820bde7000cc26aeb6d9ca00,Ministro da Casa Civil diz que governo pode ir à Justiça contra preços abusivos em hotéis na COP em Belém,2025-09-25T00:28:01+00:00,https://g1.globo.com/pa/para/noticia/2025/09/24/ministro-da-casa-civil-diz-que-governo-pode-ir-a-justica-contra-precos-abusivos-em-hoteis-na-cop-em-belem.ghtml,g1.globo.com,,
cfdf7270943cd3b839853d9904a2a87a,Réveillon de Fortaleza: Prefeitura anuncia dois dias de festa no Aterro da Praia de Iracema e em outros polos,2025-09-25T00:14:45+00:00,https://g1.globo.com/ce/ceara/noticia/2025/09/24/reveillon-de-fortaleza-prefeitura-anuncia-dois-dias-de-festa-no-aterro-da-praia-de-iracema-e-em-outros-polos.ghtml,g1.globo.com,,
59103eba30eb2aade03f9bd89ba45879,Câmara aprova projeto que retira do arcabouço fiscal investimentos em saúde e educação financiados com Fundo Social,2025-09-25T00:12:24+00:00,https://g1.globo.com/politica/noticia/2025/09/24/camara-aprova-projeto-que-retira-do-arcabouco-fiscal-investimentos-em-saude-e-educacao-financiados-com-fundo-social.ghtml,g1.globo.com,,
40c627686bddb9817937686932979f9e,Resumão diário do JN: Queda de avião em MS mata um dos maiores arquitetos do mundo; Senado rejeita PEC da Blindagem e arquiva proposta,2025-09-25T00:10:45+00:00,https://g1.globo.com/podcast/resumao-diario/noticia/2025/09/24/resumao-diario-do-jn-queda-de-aviao-no-ms-mata-um-dos-maiores-arquitetos-do-mundo-senado-rejeita-pec-da-blindagem-e-arquiva-proposta.ghtml,g1.globo.com,,
5228a19a57a7d72a3f3db57594a5595b,"Comissão de Constituição e Justiça rejeita por unanimidade a PEC da Blindagem, e o Senado arquiva a proposta",2025-09-25T00:07:34+00:00,https://g1.globo.com/jornal-nacional/noticia/2025/09/24/comissao-de-constituicao-e-justica-rejeita-por-unanimidade-a-pec-da-blindagem-e-o-senado-arquiva-a-proposta.ghtml,g1.globo.com,,
4d44dda5bc01f9b94d86f3d139b03956,Fernando de Noronha recebe 3ª Jornada Animal com atendimentos gratuitos para cães e gatos,2025-09-24T23:55:42+00:00,https://g1.globo.com/pe/pernambuco/blog/viver-noronha/post/2025/09/24/fernando-de-noronha-recebe-3a-jornada-animal-com-atendimentos-gratuitos-para-caes-e-gatos.ghtml,g1.globo.com,,
54a4aa9ead82a996736d7915dc4beff1,Tempestade mais forte do mundo em 2025 deixa 24 mortos e mais de 120 feridos no leste da Ásia,2025-09-24T23:51:38+00:00,https://g1.globo.com/jornal-nacional/noticia/2025/09/24/tempestade-mais-forte-do-mundo-em-2025-deixa-24-mortos-e-mais-de-120-feridos-no-leste-da-asia.ghtml,g1.globo.com,,
d9e616ef8b0bbc2560713169bb609f94,"Na ONU, líderes mundiais debatem o futuro do clima no planeta",2025-09-24T23:51:37+00:00,https://g1.globo.com/jornal-nacional/noticia/2025/09/24/na-onu-lideres-mundiais-debatem-o-futuro-do-clima-no-planeta.ghtml,g1.globo.com,,
1c087e4fe04d57f4f23d09666a00d4b7,Youtuber é preso em flagrante após troca de tiros com policiais e fazer companheira e filho de escudo em Feira de Santana,2025-09-24T23:50:12+00:00,https://g1.globo.com/ba/feira-de-santana-regiao/noticia/2025/09/24/homem-e-preso-em-flagrante-apos-troca-de-tiros-com-policiais.ghtml,g1.globo.com,,
6cba86494233a7e2fd1d5b756c536e72,"Zelador foi rendido ao identificar ladrão de peruca no elevador de prédio alvo de arrastão em Ribeirão Preto, SP",2025-09-24T23:44:07+00:00,https://g1.globo.com/sp/ribeirao-preto-franca/noticia/2025/09/24/zelador-foi-rendido-ao-identificar-ladrao-de-peruca-no-elevador-de-predio-alvo-de-arrastao-em-ribeirao-preto-sp.ghtml,g1.globo.com,,
3af273019b3e88ba6039e00844cb9bef,Santos celebra 25 anos do Bonde Turístico com app de realidade aumentada e Bonde Pelé multimídia,2025-09-24T23:44:02+00:00,https://g1.globo.com/sp/santos-regiao/noticia/2025/09/24/santos-celebra-25-anos-do-bonde-turistico-com-app-de-realidade-aumentada-e-bonde-pele-multimidia.ghtml,g1.globo.com,,
16d53e797cdaf4698ada550c09512c6a,"'Aquilo que parecia impossível deixou de ser', diz Lula sobre encontro com Trump",2025-09-24T23:41:17+00:00,https://g1.globo.com/jornal-nacional/noticia/2025/09/24/aquilo-que-parecia-impossivel-deixou-de-ser-diz-lula-sobre-encontro-com-trump.ghtml,g1.globo.com,,
