cluster_id,freshness,authority,social_velocity,engagement,sentiment,brand_fit,novelty,risk_penalty,total,decision
b1061bc45a1add06a9d1e984ff050160,0.6343,0.6,0.2676,0.3068,0.8365,0.65,0.0,0.85,40.99,DROP
653f5657dc903b6a236e6bb1c7e30a3b,0.6074,0.9,0.1287,0.1604,0.8544,0.65,0.0,0.85,40.9,DROP
47fe1cbca29f4c3e27bdd6a2f2e933ef,0.4864,0.6,0.3674,0.1523,0.9102,0.75,0.0,0.85,40.76,DROP
1e47f3f6c24ecc8efd27223dce3adcf7,0.258,0.6,0.5387,0.4682,0.7029,0.75,0.0,0.85,40.71,DROP
3a8ed6077bebe6a59e19b285cc6fc46d,0.5326,0.6,0.357,0.0874,0.8737,0.75,0.0,0.85,40.5,DROP
8dc0f45132ab1588c8b39088f2ab1700,0.6197,0.9,0.6137,0.3139,0.6071,0.0,0.0,0.85,40.27,DROP
008f8a0f48df3cf01a6a21df89432cea,0.425,0.6,0.6728,0.2748,0.8857,0.75,0.0,0.85,40.25,DROP
0af43b5088ee4cd07724a6fa3c840f1b,0.4264,0.6,0.5766,0.376,0.9713,0.75,0.0,0.85,40.23,DROP
4625fd4a13be55fe2c40b2fb835ddecb,0.9861,0.6,0.6086,0.0023,0.6077,0.0,0.0,0.85,39.94,DROP
0e41a1976b79468711f7dad73a427487,0.3116,0.88,0.6882,0.4269,0.9495,0.0,0.0,0.85,39.92,DROP
feea7868dfd4581ab85dcd309cf30add,0.4326,0.9,0.6993,0.0643,0.994,0.0,0.0,0.85,39.71,DROP
07a3e2f75c2267ea9de46315c60f9e73,0.5396,0.6,0.4829,0.4213,0.8014,0.75,0.0,0.85,39.59,DROP
920c5ea56464ce8b94141e612292335f,0.4069,0.88,0.6548,0.1975,0.932,0.0,0.0,0.85,38.87,DROP
e55863d6c88fb054415c223ed73866d6,0.8835,0.88,0.271,0.1756,0.7531,0.0,0.0,0.85,38.74,DROP
354f36f937a4e97fad9441673e2bce21,0.4144,0.9,0.5645,0.3085,0.8741,0.0,0.0,0.85,38.17,DROP
6ad29617271a8f7fd52d8529dd0a61de,0.9861,0.6,0.4345,0.0407,0.7068,0.0,0.0,0.85,38.15,DROP
2ac99dd7d44e02d866361b3948d79cb1,0.2305,0.88,0.3542,0.0467,0.8234,0.75,0.0,0.85,38.12,DROP
75a598fe04fa0f4e472051e09671bf79,0.2874,0.6,0.429,0.2504,0.775,0.75,0.0,0.85,38.11,DROP
c732f7c811481c26fd350783d19a4201,0.4628,0.6,0.2792,0.2885,0.6279,0.75,0.0,0.85,37.62,DROP
