cluster_id,freshness,authority,social_velocity,engagement,sentiment,brand_fit,novelty,total,decision
f21a236f3fc5324cacdf569b4512d7db,0.7812,0.96,0.0,0.0,1.0,0.75,0.8333,78.9,POST
a93c0b4e0a1ee5579625877a7e363d04,0.8023,0.6,0.0,0.0,1.0,1.0,0.8696,78.89,POST
0c7daad6196b08dbe70290560ff633a0,0.6946,0.88,0.0,0.0,1.0,0.9,0.8235,78.88,POST
4a2d92c7dafb3e638e38018a5ea4ba3e,0.8399,0.6,0.0,0.0,1.0,1.0,0.8182,78.87,POST
ccd456050e82a175db80e9808d5b7b3c,0.7972,0.6,0.0,0.0,1.0,1.0,0.875,78.87,POST
ce91c3e11851491cc43dcbef27926f8d,0.7294,0.86,0.0,0.0,1.0,0.9,0.8,78.87,POST
0c0ffae090b4995d8e26a0b22a4b6cbb,0.8017,0.9,0.0,0.0,1.0,0.75,0.875,78.86,POST
648364cd6d7f5c02e4b77e203b96e8f4,0.5842,0.86,0.0,0.0,1.0,1.0,0.8462,78.86,POST
5eb20dec4e5a091c93e7eba35799fad7,0.8219,0.6,0.0,0.0,1.0,1.0,0.84,78.84,POST
5b694ba5c41fc5a9a8ce174a4785d97b,0.826,0.6,0.0,0.0,1.0,1.0,0.8333,78.82,POST
0cfac416ad0ff8ba99f42f12eaea675b,0.8124,0.88,0.0,0.0,1.0,0.75,0.88,78.79,POST
c76c6f30d87ca3c64380a51b478320f4,0.862,0.6,0.0,0.0,1.0,1.0,0.7826,78.78,POST
a0303fd38549b73bcc63da9afcdf52f9,0.8197,0.88,0.0,0.0,1.0,0.75,0.8696,78.78,POST
c56be98967f3b551cfd8329eea8f5cf4,0.5368,0.88,0.0,0.0,1.0,1.0,0.8788,78.76,POST
9f820bd3e541fb6043351d7e9b3a9920,0.8129,0.6,0.0,0.0,1.0,1.0,0.8462,78.75,POST
54cc294c566b408e11118dc8c53227b8,0.8435,0.88,0.0,0.0,1.0,0.75,0.8333,78.71,POST
b10032b1919e31e045af2ff488252474,0.7587,0.96,0.0,0.0,1.0,0.75,0.85,78.7,POST
9add5ea8cba483a66c63cf293d519342,0.8204,0.88,0.0,0.0,1.0,0.75,0.8636,78.7,POST
705e2164775034ccdc3bc4fa6fa37f7b,0.7969,0.6,0.0,0.0,1.0,1.0,0.8636,78.69,POST
9a0323fc9bcf913404ff33397e3148fe,0.7693,0.6,0.0,0.0,1.0,1.0,0.9,78.69,POST
00b8ed33f404c76381056958b2fb6c5d,0.7939,0.6,0.0,0.0,1.0,1.0,0.8636,78.63,POST
05b55f53dbc63db5b29b090cd3bf0577,0.5565,0.9,0.0,0.0,1.0,1.0,0.8182,78.6,POST
c2b5ca6e473cec5c63e37731d274b33b,0.8197,0.88,0.0,0.0,1.0,0.75,0.8571,78.59,POST
